 Init noise sample_rate tau1_init tau2_init sigma_init acc acc1 acc2 acc3
56 57 different 16 0.30835598707199097 0.14802461862564087 0.6128784418106079 0.3853503167629242 0.3478304147720337 0.3980891704559326 0.4101313650608063
57 58 same 256 0.33829599618911743 0.4293164014816284 0.8403295874595642 0.1573779135942459 0.17665207386016846 0.12778662145137787 0.1676950603723526
58 59 same 16 0.6515421867370605 0.5814254879951477 0.7170311808586121 0.20992569625377655 0.18829618394374847 0.2344745248556137 0.20700636506080627
59 60 same 128 0.12181240320205688 0.18898248672485352 0.7320208549499512 0.19350449740886688 0.19765126705169678 0.19655652344226837 0.18630573153495789
60 61 different 32 0.6417250037193298 0.16470277309417725 0.4305386543273926 0.172770693898201 0.22143709659576416 0.1967555731534958 0.10011942684650421
61 62 different 32 0.9813567996025085 0.4387591481208801 0.8994281888008118 0.1802680492401123 0.1957603543996811 0.14102308452129364 0.204020693898201
62 63 same 512 0.6139019727706909 0.7808235287666321 0.9013105630874634 0.19294054806232452 0.17904061079025269 0.17645302414894104 0.22332802414894104
63 64 different 512 0.8877931237220764 0.13848942518234253 0.521807849407196 0.12679140269756317 0.11952627450227737 0.10011942684650421 0.16072849929332733
64 65 different 128 0.05595290660858154 0.31215888261795044 0.6062564253807068 0.27023622393608093 0.2730891704559326 0.2697054147720337 0.2679140269756317
65 66 different 256 0.27768945693969727 0.45008158683776855 0.9738695621490479 0.18567542731761932 0.2053144872188568 0.1854100376367569 0.16630175709724426
66 67 different 16 0.7929818034172058 0.008664131164550781 0.4324735999107361 0.20292596518993378 0.11295780539512634 0.23178741335868835 0.26403263211250305
67 68 different 128 0.8641856908798218 0.8067151308059692 0.4248732924461365 0.15369559824466705 0.1552547812461853 0.15893709659576416 0.1468949019908905
68 69 different 512 0.7747847437858582 0.9831402897834778 0.6285914182662964 0.10287287831306458 0.09912420064210892 0.10977309197187424 0.09972133487462997
69 70 same 256 0.6196390390396118 0.6496075987815857 0.9621784687042236 0.16162420809268951 0.1894904524087906 0.1354498416185379 0.15993233025074005
70 71 same 64 0.9628069400787354 0.833254873752594 0.9691649079322815 0.16852442920207977 0.18879379332065582 0.11226114630699158 0.20451831817626953
71 72 different 64 0.9143806099891663 0.7787007093429565 0.41827040910720825 0.16397956013679504 0.18391719460487366 0.19038614630699158 0.1176353469491005
72 73 same 32 0.32968753576278687 0.3008655309677124 0.8272610306739807 0.23815685510635376 0.23696258664131165 0.26313695311546326 0.21437102556228638
73 74 same 128 0.7751898169517517 0.6230149865150452 0.06866711378097534 0.2292661815881729 0.25149282813072205 0.23288217186927795 0.20342355966567993
74 75 same 64 0.6581950187683105 0.4779273271560669 0.8836788535118103 0.19144771993160248 0.17058120667934418 0.21387340128421783 0.18988853693008423
75 76 different 128 0.9484220743179321 0.3477542996406555 0.5546581149101257 0.13720805943012238 0.18730095028877258 0.1229100301861763 0.10141322016716003
76 77 same 16 0.36020880937576294 0.3509588837623596 0.18341022729873657 0.3707869052886963 0.38067278265953064 0.38276273012161255 0.3489251732826233
77 78 same 64 0.8543741106987 0.7654205560684204 0.8926622271537781 0.1853768676519394 0.2010350376367569 0.15226911008358002 0.20282644033432007
78 79 different 512 0.16055893898010254 0.08196187019348145 0.7321060299873352 0.1468285471200943 0.17784634232521057 0.10489649325609207 0.15774282813072205
79 80 different 16 0.788727343082428 0.29246199131011963 0.3269653916358948 0.21901540458202362 0.17834395170211792 0.24552150070667267 0.23318073153495789
80 81 same 64 0.9511739611625671 0.04373353719711304 0.3902580142021179 0.18809713423252106 0.17645302414894104 0.19038614630699158 0.19745223224163055
81 82 different 16 0.4060741662979126 0.3621731996536255 0.7558813691139221 0.27643975615501404 0.25457802414894104 0.25587180256843567 0.318869411945343
82 83 different 64 0.09477990865707397 0.8259479999542236 0.9027450084686279 0.28712180256843567 0.2803542912006378 0.3053343892097473 0.27567675709724426
83 84 same 128 0.4466499090194702 0.8748849630355835 0.7154092788696289 0.17018312215805054 0.18361863493919373 0.15057723224163055 0.17635349929332733
84 85 same 64 0.3628917932510376 0.2834569811820984 0.34561657905578613 0.19095011055469513 0.19834792613983154 0.17565684020519257 0.1988455355167389
85 86 same 32 0.4414575695991516 0.6942365765571594 0.005129098892211914 0.5865180492401123 0.5872810482978821 0.5784235596656799 0.5938495397567749
86 87 same 256 0.8716422915458679 0.8247407078742981 0.9515725374221802 0.14808917045593262 0.14838774502277374 0.1457006335258484 0.15017913281917572
87 88 different 256 0.5077932476997375 0.7544121146202087 0.1645931601524353 0.1708797812461853 0.2228304147720337 0.10479697585105896 0.18501193821430206
88 89 different 32 0.42677271366119385 0.7883589863777161 0.4626529812812805 0.24837446212768555 0.22253184020519257 0.2197452187538147 0.30284634232521057
89 90 same 512 0.3049658536911011 0.6360310316085815 0.5897887349128723 0.150013267993927 0.1761544644832611 0.09992038458585739 0.1739649623632431
90 91 different 512 0.009124994277954102 0.13285678625106812 0.3068505525588989 0.41182324290275574 0.443670392036438 0.36534634232521057 0.42645302414894104
91 92 different 64 0.6600799560546875 0.1273295283317566 0.32764172554016113 0.16583731770515442 0.1989450603723526 0.09932325035333633 0.19924363493919373
92 93 different 16 0.6573688387870789 0.3184870481491089 0.6662843823432922 0.22455547749996185 0.24532245099544525 0.2697054147720337 0.15863853693008423
93 94 same 32 0.2195398211479187 0.7203170657157898 0.6141654253005981 0.28685641288757324 0.2904060482978821 0.2782643437385559 0.2918988764286041
